,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
34471,2011-01-25,Japan,South Korea,2.0,2.0,AFC Asian Cup,Doha,Qatar,True
34472,2011-01-25,Uzbekistan,Australia,0.0,6.0,AFC Asian Cup,Doha,Qatar,True
34473,2011-01-28,Uzbekistan,South Korea,2.0,3.0,AFC Asian Cup,Doha,Qatar,True
34474,2011-01-29,Australia,Japan,0.0,1.0,AFC Asian Cup,Doha,Qatar,True
34475,2011-02-06,Moldova,Poland,0.0,1.0,Friendly,Vila Real de Santo António,Portugal,True
34476,2011-02-08,Cyprus,Sweden,0.0,2.0,Cyprus International Tournament,Nicosia,Cyprus,False
34477,2011-02-08,Ghana,Togo,4.0,1.0,Friendly,Antwerp,Belgium,True
34478,2011-02-08,Republic of Ireland,Wales,3.0,0.0,Nations Cup,Dublin,Republic of Ireland,False
34479,2011-02-08,Mali,Ivory Coast,0.0,1.0,Friendly,Valence,France,True
34480,2011-02-08,Peru,Panama,1.0,0.0,Friendly,Moquegua,Peru,False
34481,2011-02-08,Romania,Ukraine,2.0,2.0,Cyprus International Tournament,Paralímni,Cyprus,True
34482,2011-02-09,Albania,Slovenia,1.0,2.0,Friendly,Tirana,Albania,False
34483,2011-02-09,Andorra,Moldova,1.0,2.0,Friendly,Lagos,Portugal,True
34484,2011-02-09,Argentina,Portugal,2.0,1.0,Friendly,Geneva,Switzerland,True
34485,2011-02-09,Armenia,Georgia,1.0,2.0,Friendly,Limassol,Cyprus,True
34486,2011-02-09,Azerbaijan,Hungary,0.0,2.0,Friendly,Dubai,United Arab Emirates,True
34487,2011-02-09,Belarus,Kazakhstan,1.0,1.0,Friendly,Antalya,Turkey,True
34488,2011-02-09,Belgium,Finland,1.0,1.0,Friendly,Ghent,Belgium,False
34489,2011-02-09,Cambodia,Macau,3.0,1.0,AFC Challenge Cup qualification,Phnom Penh,Cambodia,False
34490,2011-02-09,Cape Verde,Burkina Faso,1.0,0.0,Friendly,Óbidos,Portugal,True
34491,2011-02-09,DR Congo,Gabon,0.0,2.0,Friendly,Rouen,France,True
34492,2011-02-09,Croatia,Czech Republic,4.0,2.0,Friendly,Pula,Croatia,False
34493,2011-02-09,Cyprus,Romania,1.0,1.0,Cyprus International Tournament,Paralímni,Cyprus,False
34494,2011-02-09,Denmark,England,1.0,2.0,Friendly,Copenhagen,Denmark,False
34495,2011-02-09,El Salvador,Haiti,1.0,0.0,Friendly,San Salvador,El Salvador,False
34496,2011-02-09,France,Brazil,1.0,0.0,Friendly,Saint-Denis,France,False
34497,2011-02-09,Germany,Italy,1.0,1.0,Friendly,Dortmund,Germany,False
34498,2011-02-09,Greece,Canada,1.0,0.0,Friendly,Lárisa,Greece,False
34499,2011-02-09,Guinea-Bissau,Gambia,3.0,1.0,Friendly,Amadora,Portugal,True
34500,2011-02-09,Honduras,Ecuador,1.0,1.0,Friendly,La Ceiba,Honduras,False
34501,2011-02-09,Iran,Russia,1.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,True
34502,2011-02-09,Israel,Serbia,0.0,2.0,Friendly,Jaffa,Israel,False
34503,2011-02-09,Latvia,Bolivia,2.0,1.0,Friendly,Antalya,Turkey,True
34504,2011-02-09,Libya,Benin,3.0,2.0,Friendly,Tripoli,Libya,False
34505,2011-02-09,Luxembourg,Slovakia,2.0,1.0,Friendly,Luxembourg,Luxembourg,False
34506,2011-02-09,North Macedonia,Cameroon,0.0,1.0,Friendly,Skopje,North Macedonia,False
34507,2011-02-09,Malaysia,Hong Kong,2.0,0.0,Friendly,Kuala Lumpur,Malaysia,False
34508,2011-02-09,Malta,Switzerland,0.0,0.0,Friendly,Attard,Malta,False
34509,2011-02-09,Mexico,Bosnia and Herzegovina,2.0,0.0,Friendly,Atlanta,United States,True
34510,2011-02-09,Morocco,Niger,3.0,0.0,Friendly,Marrakech,Morocco,False
34511,2011-02-09,Mozambique,Botswana,1.0,1.0,Friendly,Maputo,Mozambique,False
34512,2011-02-09,Namibia,Malawi,1.0,2.0,Friendly,Windhoek,Namibia,False
34513,2011-02-09,Netherlands,Austria,3.0,1.0,Friendly,Eindhoven,Netherlands,False
34514,2011-02-09,Nigeria,Sierra Leone,2.0,1.0,Friendly,Lagos,Nigeria,False
